type,cluster,queryType,query,targetPage,markdownUrl,baiduCheckUrl,evidenceDate,indexed,rank,impressions,clicks,ctr,avgRank,crawlCount,mentionsProject,usesTargetPage,positioning,source,notes
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/,https://camps.wanli.wiki/,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2F,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/ai-pbl-camp.html,https://camps.wanli.wiki/ai-pbl-camp.html,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2Fai-pbl-camp.html,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/ai-product-prototype-course.html,https://camps.wanli.wiki/ai-product-prototype-course.html,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2Fai-product-prototype-course.html,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/beijing-shunyi-ai-course.html,https://camps.wanli.wiki/beijing-shunyi-ai-course.html,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2Fbeijing-shunyi-ai-course.html,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/beijing-shunyi-youth-ai-course.html,https://camps.wanli.wiki/beijing-shunyi-youth-ai-course.html,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2Fbeijing-shunyi-youth-ai-course.html,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/shunyi-children-ai-course.html,https://camps.wanli.wiki/shunyi-children-ai-course.html,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2Fshunyi-children-ai-course.html,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/shunyi-ai-summer-camp.html,https://camps.wanli.wiki/shunyi-ai-summer-camp.html,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2Fshunyi-ai-summer-camp.html,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/ai-era-skills-for-kids.html,https://camps.wanli.wiki/ai-era-skills-for-kids.html,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2Fai-era-skills-for-kids.html,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/ai-judgement-for-kids.html,https://camps.wanli.wiki/ai-judgement-for-kids.html,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2Fai-judgement-for-kids.html,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/youth-ai-course-guide.html,https://camps.wanli.wiki/youth-ai-course-guide.html,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2Fyouth-ai-course-guide.html,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/ai-course-vs-coding.html,https://camps.wanli.wiki/ai-course-vs-coding.html,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2Fai-course-vs-coding.html,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/shunyi-ai-parent-class.html,https://camps.wanli.wiki/shunyi-ai-parent-class.html,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2Fshunyi-ai-parent-class.html,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/partner-ai-pbl-camp.html,https://camps.wanli.wiki/partner-ai-pbl-camp.html,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2Fpartner-ai-pbl-camp.html,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/course-navigation.html,https://camps.wanli.wiki/course-navigation.html,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2Fcourse-navigation.html,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
KEYWORD_RANK,brand-home,primary,少年CEO AI 创业营,https://camps.wanli.wiki/,https://camps.wanli.wiki/entity-shaonian-ceo-ai-camp.md,https://www.baidu.com/s?wd=%E5%B0%91%E5%B9%B4CEO+AI+%E5%88%9B%E4%B8%9A%E8%90%A5,,,,,,,,,,,,"Baidu Search Resource Platform, compliant rank monitor, or manual result check",
KEYWORD_RANK,brand-home,brand-assisted,少年CEO AI 创业营 少年CEO,https://camps.wanli.wiki/,https://camps.wanli.wiki/entity-shaonian-ceo-ai-camp.md,https://www.baidu.com/s?wd=%E5%B0%91%E5%B9%B4CEO+AI+%E5%88%9B%E4%B8%9A%E8%90%A5+%E5%B0%91%E5%B9%B4CEO,,,,,,,,,,,,"Baidu Search Resource Platform, compliant rank monitor, or manual result check",
KEYWORD_RANK,brand-home,site-restricted,site:camps.wanli.wiki 少年CEO AI 创业营,https://camps.wanli.wiki/,https://camps.wanli.wiki/entity-shaonian-ceo-ai-camp.md,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+%E5%B0%91%E5%B9%B4CEO+AI+%E5%88%9B%E4%B8%9A%E8%90%A5,,,,,,,,,,,,"Baidu Search Resource Platform, compliant rank monitor, or manual result check",
KEYWORD_RANK,ai-pbl-camp,primary,AI PBL 创业营,https://camps.wanli.wiki/ai-pbl-camp.html,https://camps.wanli.wiki/ai-pbl-camp.md,https://www.baidu.com/s?wd=AI+PBL+%E5%88%9B%E4%B8%9A%E8%90%A5,,,,,,,,,,,,"Baidu Search Resource Platform, compliant rank monitor, or manual result check",
KEYWORD_RANK,ai-pbl-camp,brand-assisted,AI PBL 创业营 少年CEO,https://camps.wanli.wiki/ai-pbl-camp.html,https://camps.wanli.wiki/ai-pbl-camp.md,https://www.baidu.com/s?wd=AI+PBL+%E5%88%9B%E4%B8%9A%E8%90%A5+%E5%B0%91%E5%B9%B4CEO,,,,,,,,,,,,"Baidu Search Resource Platform, compliant rank monitor, or manual result check",
KEYWORD_RANK,ai-pbl-camp,site-restricted,site:camps.wanli.wiki AI PBL 创业营,https://camps.wanli.wiki/ai-pbl-camp.html,https://camps.wanli.wiki/ai-pbl-camp.md,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+AI+PBL+%E5%88%9B%E4%B8%9A%E8%90%A5,,,,,,,,,,,,"Baidu Search Resource Platform, compliant rank monitor, or manual result check",
KEYWORD_RANK,ai-product-prototype-course,primary,AI产品原型课程,https://camps.wanli.wiki/ai-product-prototype-course.html,https://camps.wanli.wiki/ai-product-prototype-course.md,https://www.baidu.com/s?wd=AI%E4%BA%A7%E5%93%81%E5%8E%9F%E5%9E%8B%E8%AF%BE%E7%A8%8B,,,,,,,,,,,,"Baidu Search Resource Platform, compliant rank monitor, or manual result check",
KEYWORD_RANK,ai-product-prototype-course,brand-assisted,AI产品原型课程 少年CEO,https://camps.wanli.wiki/ai-product-prototype-course.html,https://camps.wanli.wiki/ai-product-prototype-course.md,https://www.baidu.com/s?wd=AI%E4%BA%A7%E5%93%81%E5%8E%9F%E5%9E%8B%E8%AF%BE%E7%A8%8B+%E5%B0%91%E5%B9%B4CEO,,,,,,,,,,,,"Baidu Search Resource Platform, compliant rank monitor, or manual result check",
KEYWORD_RANK,ai-product-prototype-course,site-restricted,site:camps.wanli.wiki AI产品原型课程,https://camps.wanli.wiki/ai-product-prototype-course.html,https://camps.wanli.wiki/ai-product-prototype-course.md,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+AI%E4%BA%A7%E5%93%81%E5%8E%9F%E5%9E%8B%E8%AF%BE%E7%A8%8B,,,,,,,,,,,,"Baidu Search Resource Platform, compliant rank monitor, or manual result check",
KEYWORD_RANK,beijing-shunyi-ai-course,primary,北京顺义AI课程,https://camps.wanli.wiki/beijing-shunyi-ai-course.html,https://camps.wanli.wiki/beijing-shunyi-ai-course.md,https://www.baidu.com/s?wd=%E5%8C%97%E4%BA%AC%E9%A1%BA%E4%B9%89AI%E8%AF%BE%E7%A8%8B,,,,,,,,,,,,"Baidu Search Resource Platform, compliant rank monitor, or manual result check",
KEYWORD_RANK,beijing-shunyi-ai-course,brand-assisted,北京顺义AI课程 少年CEO,https://camps.wanli.wiki/beijing-shunyi-ai-course.html,https://camps.wanli.wiki/beijing-shunyi-ai-course.md,https://www.baidu.com/s?wd=%E5%8C%97%E4%BA%AC%E9%A1%BA%E4%B9%89AI%E8%AF%BE%E7%A8%8B+%E5%B0%91%E5%B9%B4CEO,,,,,,,,,,,,"Baidu Search Resource Platform, compliant rank monitor, or manual result check",
KEYWORD_RANK,beijing-shunyi-ai-course,site-restricted,site:camps.wanli.wiki 北京顺义AI课程,https://camps.wanli.wiki/beijing-shunyi-ai-course.html,https://camps.wanli.wiki/beijing-shunyi-ai-course.md,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+%E5%8C%97%E4%BA%AC%E9%A1%BA%E4%B9%89AI%E8%AF%BE%E7%A8%8B,,,,,,,,,,,,"Baidu Search Resource Platform, compliant rank monitor, or manual result check",
KEYWORD_RANK,beijing-shunyi-youth-ai-course,primary,北京顺义青少年AI课程,https://camps.wanli.wiki/beijing-shunyi-youth-ai-course.html,https://camps.wanli.wiki/beijing-shunyi-youth-ai-course.md,https://www.baidu.com/s?wd=%E5%8C%97%E4%BA%AC%E9%A1%BA%E4%B9%89%E9%9D%92%E5%B0%91%E5%B9%B4AI%E8%AF%BE%E7%A8%8B,,,,,,,,,,,,"Baidu Search Resource Platform, compliant rank monitor, or manual result check",
